Candidate,State,Office Type,Date,Partisan Lean,Primary %,Won,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,Endorsements,value,Progressive
A.J. Balukoff,ID,Governor,5/15/18,-34.3,40.1,No,White,No,No,No,Yes,No,No,No
Aaron Godfrey,OH,Representative,5/8/18,-17.0,7.9,No,,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Aaron Godfrey,OH,Representative,5/8/18,-17.0,7.9,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Aaron Godfrey,OH,Representative,5/8/18,-17.0,7.9,No,,No,No,No,No,No,No,No
Aaron Scheinberg,WV,Representative,5/8/18,-35.3,37.4,No,White,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Aaron Scheinberg,WV,Representative,5/8/18,-35.3,37.4,No,White,Yes,No,No,No,No,No,No
Aaron Swisher,ID,Representative,5/15/18,-28.8,67.6,Yes,White,No,No,No,No,No,No,No
Abby Finkenauer,IA,Representative,6/5/18,-1.7,66.8,Yes,White,No,No,Yes,No,Emily Endorsed?,Yes,No
Abby Finkenauer,IA,Representative,6/5/18,-1.7,66.8,Yes,White,No,No,Yes,No,Party Support?,Yes,No
Abby Finkenauer,IA,Representative,6/5/18,-1.7,66.8,Yes,White,No,No,Yes,No,Biden Endorsed?,Yes,No
Abby Finkenauer,IA,Representative,6/5/18,-1.7,66.8,Yes,White,No,No,Yes,No,No,No,No
Abdul El-Sayed,MI,Governor,8/7/18,-0.3,30.5,No,Nonwhite,No,No,No,No,PCCC Endorsed?,Yes,Yes
Abdul El-Sayed,MI,Governor,8/7/18,-0.3,30.5,No,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Abdul El-Sayed,MI,Governor,8/7/18,-0.3,30.5,No,Nonwhite,No,No,No,No,Guns Sense Candidate?,Yes,No
Abdul El-Sayed,MI,Governor,8/7/18,-0.3,30.5,No,Nonwhite,No,No,No,No,No,No,No
Abdul El-Sayed,MI,Governor,8/7/18,-0.3,30.5,No,Nonwhite,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Abigail Spanberger,VA,Representative,6/12/18,-10.0,72.7,Yes,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Adam Bell,TX,Representative,3/6/18,-20.7,18.0,No,White,No,No,No,No,No,No,No
Adam Bell,TX,Representative,3/6/18,-20.7,18.0,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Adam Coker,NC,Representative,5/8/18,-11.3,29.9,No,White,No,No,No,No,No,No,No
Adam Coker,NC,Representative,5/8/18,-11.3,29.9,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Adam Cote,ME,Governor,6/12/18,3.5,28.1,No,White,Yes,No,No,No,No,No,No
Adam Cote,ME,Governor,6/12/18,3.5,28.1,No,White,Yes,No,No,No,Guns Sense Candidate?,Yes,No
Adam McFadden,NY,Representative,6/26/18,14.6,17.5,No,Nonwhite,No,No,Yes,No,No,No,No
Adam Sedlock,PA,Representative,5/15/18,-28.7,23.9,No,White,No,No,No,No,No,No,No
Adia McClellan Winfrey,AL,Representative,6/5/18,-33.7,34.2,No,Nonwhite,No,No,No,No,Guns Sense Candidate?,Yes,No
Adia McClellan Winfrey,AL,Representative,6/5/18,-33.7,34.2,No,Nonwhite,No,No,No,No,No,No,No
Adrian Ocegueda,TX,Governor,3/6/18,-13.2,4.4,No,Nonwhite,No,No,No,No,No,No,No
Adrienne Bell,TX,Representative,3/6/18,-22.3,79.8,Yes,Nonwhite,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Adrienne Bell,TX,Representative,3/6/18,-22.3,79.8,Yes,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Adrienne Bell,TX,Representative,3/6/18,-22.3,79.8,Yes,Nonwhite,No,No,No,No,No,No,No
Aftab Pureval,OH,Representative,5/8/18,-9.0,100.0,Yes,Nonwhite,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Akinyemi Agbede,CA,Governor,6/5/18,25.8,0.2,No,Nonwhite,No,No,No,No,No,No,No
Alan Howe,PA,Representative,5/15/18,-10.9,10.8,No,White,Yes,No,No,No,No,No,No
Alan LaPolice,KS,Representative,8/7/18,-46.9,100.0,Yes,White,Yes,No,No,No,No,No,No
Albert Caesar Mezzetti,CA,Governor,6/5/18,25.8,0.3,No,White,Yes,No,Yes,No,No,No,No
Alec Ross,MD,Governor,6/26/18,23.8,2.3,No,White,No,No,No,No,No,No,No
Alec Ross,MD,Governor,6/26/18,23.8,2.3,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Alex Triantaphyllis,TX,Representative,3/6/18,-6.8,15.7,No,White,No,No,No,No,No,No,No
Ali Khorasani,TX,Representative,3/6/18,-16.3,7.5,No,Nonwhite,No,Yes,No,No,Our Revolution Endorsed?,Yes,Yes
Ali Khorasani,TX,Representative,3/6/18,-16.3,7.5,No,Nonwhite,No,Yes,No,No,No,No,No
Alison Heslin,NJ,Representative,6/5/18,-4.7,2.7,No,,No,No,No,No,No,No,No
Alison Kiehl Friedman,VA,Representative,6/12/18,4.7,23.0,No,White,No,No,No,Yes,No,No,No
Alison Kiehl Friedman,VA,Representative,6/12/18,4.7,23.0,No,White,No,No,No,Yes,Guns Sense Candidate?,Yes,No
Allen Rheinhart,NV,Senator,6/12/18,0.9,3.3,No,Nonwhite,No,No,No,No,No,No,No
Allison Galbraith,MD,Representative,6/26/18,-29.7,28.0,No,White,No,No,No,No,No,No,No
Allison Galbraith,MD,Representative,6/26/18,-29.7,28.0,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Allison Stephens,NV,Representative,6/12/18,3.8,6.0,No,Nonwhite,No,No,Yes,No,No,No,No
Alonzo Pennington,KY,Representative,5/22/18,-47.5,25.4,No,White,No,No,No,No,No,No,No
Amanda Douglas,OK,Representative,6/26/18,-32.0,32.4,No,,No,No,No,No,No,No,No
Amanda Douglas,OK,Representative,6/26/18,-32.0,32.4,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Amanda Howland,IL,Representative,3/20/18,0.7,12.7,No,White,No,No,No,No,No,No,No
Amanda Renteria,CA,Governor,6/5/18,25.8,2.2,No,Nonwhite,No,No,No,No,No,No,No
Ammar Campa-Najjar,CA,Representative,6/5/18,-19.5,48.4,Yes,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Ammar Campa-Najjar,CA,Representative,6/5/18,-19.5,48.4,Yes,Nonwhite,No,No,No,No,Indivisible Endorsed?,Yes,No
Ammar Campa-Najjar,CA,Representative,6/5/18,-19.5,48.4,Yes,Nonwhite,No,No,No,No,PCCC Endorsed?,Yes,Yes
Ammar Campa-Najjar,CA,Representative,6/5/18,-19.5,48.4,Yes,Nonwhite,No,No,No,No,No,No,No
Amy McGrath,KY,Representative,5/22/18,-17.4,48.7,Yes,White,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Amy McGrath,KY,Representative,5/22/18,-17.4,48.7,Yes,White,Yes,No,No,No,No,No,No
Amy Murri Briel,IL,Representative,3/20/18,-17.4,19.5,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Amy Murri Briel,IL,Representative,3/20/18,-17.4,19.5,No,White,No,No,No,No,No,No,No
Amy Vilela,NV,Representative,6/12/18,3.8,9.2,No,,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Amy Vilela,NV,Representative,6/12/18,3.8,9.2,No,,No,No,No,No,No,No,No
Amy Vilela,NV,Representative,6/12/18,3.8,9.2,No,,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Amy Vilela,NV,Representative,6/12/18,3.8,9.2,No,,No,No,No,No,Indivisible Endorsed?,Yes,No
Amy Vilela,NV,Representative,6/12/18,3.8,9.2,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Andrew Duck,MD,Representative,6/26/18,11.9,4.9,No,White,Yes,No,No,No,Guns Sense Candidate?,Yes,No
Andrew Duck,MD,Representative,6/26/18,11.9,4.9,No,White,Yes,No,No,No,No,No,No
Andrew Janz,CA,Representative,6/5/18,-13.4,78.8,Yes,Nonwhite,No,No,No,No,No,No,No
Andrew Kim,NJ,Representative,6/5/18,-6.0,100.0,Yes,Nonwhite,No,No,No,No,Biden Endorsed?,Yes,No
Andrew Kim,NJ,Representative,6/5/18,-6.0,100.0,Yes,Nonwhite,No,No,No,No,WFP Endorsed?,Yes,No
Andrew Kim,NJ,Representative,6/5/18,-6.0,100.0,Yes,Nonwhite,No,No,No,No,No,No,No
Andrew Kim,NJ,Representative,6/5/18,-6.0,100.0,Yes,Nonwhite,No,No,No,No,Party Support?,Yes,No
Andrew Kim,NJ,Representative,6/5/18,-6.0,100.0,Yes,Nonwhite,No,No,No,No,PCCC Endorsed?,Yes,Yes
Andrew White,TX,Governor,3/6/18,-13.2,27.4,No,White,No,No,No,Yes,No,No,No
Andrew White,TX,Governor,3/6/18,-13.2,27.4,No,White,No,No,No,Yes,Guns Sense Candidate?,Yes,No
Andy Levin,MI,Representative,8/7/18,7.1,52.5,Yes,White,No,No,No,No,No,No,No
Andy Levin,MI,Representative,8/7/18,7.1,52.5,Yes,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Andy McGuire,IA,Governor,6/5/18,-8.1,5.2,No,White,No,No,No,No,No,No,No
Andy Thorburn,CA,Representative,6/5/18,3.0,20.4,No,White,No,No,No,Yes,No,No,No
Andy Thorburn,CA,Representative,6/5/18,3.0,20.4,No,White,No,No,No,Yes,Guns Sense Candidate?,Yes,No
Andy Thorburn,CA,Representative,6/5/18,3.0,20.4,No,White,No,No,No,Yes,Our Revolution Endorsed?,Yes,Yes
Angel Sides,IL,Representative,3/20/18,-6.7,4.2,No,White,No,No,No,No,No,No,No
Angela Villescaz,TX,Representative,3/6/18,-0.6,9.1,No,Nonwhite,No,No,No,No,No,No,No
Annabelle Robertson,SC,Representative,6/12/18,-20.7,41.8,No,White,No,No,No,No,No,No,No
Annabelle Robertson,SC,Representative,6/12/18,-20.7,41.8,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Annabelle Robertson,SC,Representative,6/12/18,-20.7,41.8,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Anthony Brindisi,NY,Representative,6/26/18,-14.3,100.0,Yes,,No,No,Yes,No,WFP Endorsed?,Yes,No
Anthony Brindisi,NY,Representative,6/26/18,-14.3,100.0,Yes,,No,No,Yes,No,Party Support?,Yes,No
Anthony Brindisi,NY,Representative,6/26/18,-14.3,100.0,Yes,,No,No,Yes,No,No,No,No
Anthony Flaccavento,VA,Representative,6/12/18,-40.7,78.6,Yes,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Anthony Flaccavento,VA,Representative,6/12/18,-40.7,78.6,Yes,White,No,No,No,No,No,No,No
Anthony White (Alabama),AL,Governor,6/5/18,-28.9,3.4,No,Nonwhite,Yes,No,No,No,No,No,No
Antoinette Sedillo Lopez,NM,Representative,6/5/18,13.8,20.6,No,Nonwhite,No,No,No,No,No,No,No
Antoinette Sedillo Lopez,NM,Representative,6/5/18,13.8,20.6,No,Nonwhite,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Antoinette Sedillo Lopez,NM,Representative,6/5/18,13.8,20.6,No,Nonwhite,No,No,No,No,WFP Endorsed?,Yes,No
Antoinette Sedillo Lopez,NM,Representative,6/5/18,13.8,20.6,No,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Antonio Delgado,NY,Representative,6/26/18,-6.1,22.0,Yes,Nonwhite,No,No,No,No,Guns Sense Candidate?,Yes,No
Antonio Villaraigosa,CA,Governor,6/5/18,25.8,21.3,No,Nonwhite,No,No,Yes,No,No,No,No
Archie Parnell,SC,Representative,6/12/18,-19.3,60.0,Yes,White,No,No,No,No,No,No,No
