Candidate,State,Office Type,Date,Partisan Lean,Primary %,Won,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,Endorsements,value,Progressive
A.J. Balukoff,ID,Governor,5/15/18,-34.330002,40.099998,No,White,No,No,No,Yes,No,No,No
Aaron Godfrey,OH,Representative,5/8/18,-17.030001000000002,7.9099998,No,,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Aaron Godfrey,OH,Representative,5/8/18,-17.030001000000002,7.9099998,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Aaron Godfrey,OH,Representative,5/8/18,-17.030001000000002,7.9099998,No,,No,No,No,No,No,No,No
Aaron Scheinberg,WV,Representative,5/8/18,-35.330002,37.43,No,White,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Aaron Scheinberg,WV,Representative,5/8/18,-35.330002,37.43,No,White,Yes,No,No,No,No,No,No
Aaron Swisher,ID,Representative,5/15/18,-28.809998999999998,67.599998,Yes,White,No,No,No,No,No,No,No
Abby Finkenauer,IA,Representative,6/5/18,-1.73,66.800003,Yes,White,No,No,Yes,No,Emily Endorsed?,Yes,No
Abby Finkenauer,IA,Representative,6/5/18,-1.73,66.800003,Yes,White,No,No,Yes,No,Party Support?,Yes,No
Abby Finkenauer,IA,Representative,6/5/18,-1.73,66.800003,Yes,White,No,No,Yes,No,Biden Endorsed?,Yes,No
Abby Finkenauer,IA,Representative,6/5/18,-1.73,66.800003,Yes,White,No,No,Yes,No,No,No,No
Abdul El-Sayed,MI,Governor,8/7/18,-0.33000001,30.5,No,Nonwhite,No,No,No,No,PCCC Endorsed?,Yes,Yes
Abdul El-Sayed,MI,Governor,8/7/18,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Abdul El-Sayed,MI,Governor,8/7/18,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Sanders Endorsed?,Yes,No
Abdul El-Sayed,MI,Governor,8/7/18,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Guns Sense Candidate?,Yes,No
