Pac / Endorser,Link,Progressive?
Justice Democrats,https://www.justicedemocrats.com,Yes
Our Revolution,https://ourrevolution.com/about,Yes
PCCC,http://boldprogressives.org/about,Yes
Indevisible,https://www.indivisible.org,No
Working Families,http://workingfamilies.org/about-us,No
Dem Party Support,https://redtoblue.dccc.org/,No
Emily,https://www.emilyslist.org/pages/about-us,No
Gun Sense,https://momsdemandaction.org/about/,No
Votes Vets,https://www.votevets.org/about,No
Biden Endorsed,https://ballotpedia.org/Endorsements_by_Joe_Biden,No
Sanders Endorsed,https://ballotpedia.org/Endorsements_by_Bernie_Sanders,No
