Candidate,State,General Result,Endorsements,Office Type
Jacky Rosen (D)[1],Nevada, Won,Sanders Endorsed?,Senator
Tammy Baldwin (D)[1],Wisconsin, Won,Sanders Endorsed?,Senator
Ammar Campa-Najjar (D)[1],California, Defeated,Sanders Endorsed?,Representative
Barbara Lee (D)[1],California, Won,Sanders Endorsed?,Representative
Mike Levin (D)[1],California, Won,Sanders Endorsed?,Representative
Joe Neguse (D)[2],Colorado, Won,Sanders Endorsed?,Representative
Sanjay Patel (D)[3],Florida, Defeated,Sanders Endorsed?,Representative
Brent Welder (D)[4],Kansas,N/A,Sanders Endorsed?,Representative
Jesus Garcia (D)[5],Illinois, Won,Sanders Endorsed?,Representative
Marie Newman (D)[6],Illinois,N/A,Sanders Endorsed?,Representative
Liz Watson (D)[1],Indiana, Defeated,Sanders Endorsed?,Representative
Pete D'Alessandro (D)[7],Iowa,N/A,Sanders Endorsed?,Representative
J.D. Scholten (D)[1],Iowa, Defeated,Sanders Endorsed?,Representative
Greg Edwards (D)[8],Pennsylvania,N/A,Sanders Endorsed?,Representative
Jessica King (D)[9],Pennsylvania, Defeated,Sanders Endorsed?,Representative
Peter Welch (D)[10],Vermont, Won,Sanders Endorsed?,Representative
Randy Bryce (D),Wisconsin, Defeated,Sanders Endorsed?,Representative
David Garcia (D)[11],Arizona, Defeated,Sanders Endorsed?,Governor
Jared Polis (D)[2],Colorado, Won,Sanders Endorsed?,Governor
Andrew Gillum (D)[12],Florida, Defeated,Sanders Endorsed?,Governor
Stacey Abrams (D)[13],Georgia, Defeated,Sanders Endorsed?,Governor
Ben Jealous (D),Maryland, Defeated,Sanders Endorsed?,Governor
Abdul El-Sayed (D)[14],Michigan,N/A,Sanders Endorsed?,Governor
Gretchen Whitmer (D)[15],Michigan, Won,Sanders Endorsed?,Governor
Christine Hallquist (D)[16],Vermont, Defeated,Sanders Endorsed?,Governor
Kyrsten Sinema[1],Arizona, Won,Biden Endorsed?,Senator
Dianne Feinstein[2],California, Won,Biden Endorsed?,Senator
Tom Carper[3],Delaware, Won,Biden Endorsed?,Senator
Bill Nelson[4],Florida, Lost,Biden Endorsed?,Senator
Joe Donnelly[4],Indiana, Lost,Biden Endorsed?,Senator
Amy Klobuchar[4],Minnesota, Won,Biden Endorsed?,Senator
Tina Smith[5],Minnesota, Won,Biden Endorsed?,Senator
Claire McCaskill[4],Missouri, Won,Biden Endorsed?,Senator
Jon Tester[4],Montana, Won,Biden Endorsed?,Senator
Jacky Rosen[4],Nevada, Won,Biden Endorsed?,Senator
Heidi Heitkamp[4],North Dakota, Lost,Biden Endorsed?,Senator
Sherrod Brown[4],Ohio, Won,Biden Endorsed?,Senator
Phil Bredesen[4],Tennessee, Lost,Biden Endorsed?,Senator
Tammy Baldwin[4],Wisconsin, Won,Biden Endorsed?,Senator
Clarke Tucker,AK-02, Lost,Biden Endorsed?,Representative
TJ Cox[4],CA-21, Won,Biden Endorsed?,Representative
Andrew Janz[4],CA-22, Lost,Biden Endorsed?,Representative
Katie Hill[4],CA-25, Won,Biden Endorsed?,Representative
Gil Cisneros[4],CA-39, Won,Biden Endorsed?,Representative
Katie Porter[4],CA-45, Won,Biden Endorsed?,Representative
Harley Rouda[4],CA-48, Won,Biden Endorsed?,Representative
Mike Levin[4],CA-49, Won,Biden Endorsed?,Representative
Joe Neguse[4],CO-02, Won,Biden Endorsed?,Representative
Jason Crow[4],CO-06, Won,Biden Endorsed?,Representative
Jahana Hayes[4],CT-05, Won,Biden Endorsed?,Representative
Nancy Soderberg[4],FL-06, Lost,Biden Endorsed?,Representative
Stephanie Murphy[4],FL-07, Won,Biden Endorsed?,Representative
Darren Soto[4],FL-09, Won,Biden Endorsed?,Representative
Charlie Crist[4],FL-13, Won,Biden Endorsed?,Representative
Lauren Baer[4],FL-18, Lost,Biden Endorsed?,Representative
Mary Barzee Flores[4],FL-25, Lost,Biden Endorsed?,Representative
Debbie Mucarsel-Powell[6],FL-26, Won,Biden Endorsed?,Representative
Brendan Kelly[7],IL-12, Lost,Biden Endorsed?,Representative
Lauren Underwood[4],IL-14, Won,Biden Endorsed?,Representative
Cheri Bustos[4],IL-17, Won,Biden Endorsed?,Representative
Abby Finkenauer[4],IA-01, Won,Biden Endorsed?,Representative
Sharice Davids[4],KS-03, Won,Biden Endorsed?,Representative
Amy McGrath[4],KY-06, Lost,Biden Endorsed?,Representative
Cedric Richmond[4],LA-02, Won,Biden Endorsed?,Representative
Jared Golden[4],MN-02, Won,Biden Endorsed?,Representative
Matthew Morgan[4],MI-01, Lost,Biden Endorsed?,Representative
Gretchen Driskell[4],MI-07, Lost,Biden Endorsed?,Representative
Elissa Slotkin[4],MI-08, Won,Biden Endorsed?,Representative
Haley Stevens[4],MI-11, Won,Biden Endorsed?,Representative
Dan Feehan[4],MN-01, Lost,Biden Endorsed?,Representative
Dean Phillips[4],MN-03, Won,Biden Endorsed?,Representative
Joe Radinovich[4],MN-08, Lost,Biden Endorsed?,Representative
Kathleen Williams[4],MT-AL, Lost,Biden Endorsed?,Representative
Susie Lee[4],NV-03, Won,Biden Endorsed?,Representative
Steven Horsford[4],NV-04, Won,Biden Endorsed?,Representative
Andrew Kim[8],NJ-03, Won,Biden Endorsed?,Representative
Josh Gottheimer[4],NJ-05, Won,Biden Endorsed?,Representative
Tom Malinowski[4],NJ-07, Won,Biden Endorsed?,Representative
