year,city,country,avg_temp,weekly_avg_helsinki
1743,Helsinki,Finland,1.55,
1744,Helsinki,Finland,6.32,
1745,Helsinki,Finland,-5.95,
1746,Helsinki,Finland,,
1747,Helsinki,Finland,,
1748,Helsinki,Finland,,
1749,Helsinki,Finland,,0.64
1750,Helsinki,Finland,5.14,1.84
1751,Helsinki,Finland,4.68,1.29
1752,Helsinki,Finland,-0.29,3.18
1753,Helsinki,Finland,4.14,3.42
1754,Helsinki,Finland,4.15,3.56
1755,Helsinki,Finland,4.05,3.65
1756,Helsinki,Finland,4.47,3.76
1757,Helsinki,Finland,4.75,3.71
1758,Helsinki,Finland,2.66,3.42
1759,Helsinki,Finland,4.08,4.04
1760,Helsinki,Finland,2.79,3.85
1761,Helsinki,Finland,4.55,3.91
1762,Helsinki,Finland,4.22,3.93
1763,Helsinki,Finland,3.35,3.77
1764,Helsinki,Finland,4.55,3.74
1765,Helsinki,Finland,4.22,3.97
1766,Helsinki,Finland,4.75,4.06
1767,Helsinki,Finland,3.99,4.23
1768,Helsinki,Finland,3.35,4.06
1769,Helsinki,Finland,4.03,4.03
1770,Helsinki,Finland,4.15,4.15
1771,Helsinki,Finland,3.25,3.96
1772,Helsinki,Finland,3.77,3.90
1773,Helsinki,Finland,5.33,3.98
1774,Helsinki,Finland,4.01,3.98
1775,Helsinki,Finland,5.71,4.32
1776,Helsinki,Finland,4.68,4.41
1777,Helsinki,Finland,3.96,4.39
1778,Helsinki,Finland,4.23,4.53
1779,Helsinki,Finland,5.62,4.79
1780,Helsinki,Finland,3.85,4.58
1781,Helsinki,Finland,4.38,4.63
1782,Helsinki,Finland,3.29,4.29
1783,Helsinki,Finland,4.43,4.25
1784,Helsinki,Finland,3.29,4.16
1785,Helsinki,Finland,2.77,3.95
1786,Helsinki,Finland,3.14,3.59
1787,Helsinki,Finland,4.31,3.66
1788,Helsinki,Finland,3.32,3.51
1789,Helsinki,Finland,4.84,3.73
1790,Helsinki,Finland,4.23,3.70
1791,Helsinki,Finland,5.24,3.98
1792,Helsinki,Finland,4.18,4.18
1793,Helsinki,Finland,4.76,4.41
1794,Helsinki,Finland,5.7,4.61
1795,Helsinki,Finland,3.74,4.67
1796,Helsinki,Finland,4.7,4.65
1797,Helsinki,Finland,5.69,4.86
1798,Helsinki,Finland,5.15,4.85
1799,Helsinki,Finland,3.24,4.71
1800,Helsinki,Finland,3.73,4.56
1801,Helsinki,Finland,4.61,4.41
1802,Helsinki,Finland,4.07,4.46
1803,Helsinki,Finland,3.26,4.25
1804,Helsinki,Finland,3.77,3.98
1805,Helsinki,Finland,3.4,3.73
1806,Helsinki,Finland,3.97,3.83
1807,Helsinki,Finland,3.86,3.85
1808,Helsinki,Finland,3.54,3.70
1809,Helsinki,Finland,2.24,3.43
1810,Helsinki,Finland,2.55,3.33
1811,Helsinki,Finland,4.19,3.39
1812,Helsinki,Finland,2.64,3.28
1813,Helsinki,Finland,4.15,3.31
1814,Helsinki,Finland,2.98,3.18
1815,Helsinki,Finland,3.84,3.23
1816,Helsinki,Finland,3.51,3.41
1817,Helsinki,Finland,3.75,3.58
1818,Helsinki,Finland,4.62,3.64
1819,Helsinki,Finland,4.41,3.89
1820,Helsinki,Finland,3.52,3.80
1821,Helsinki,Finland,4.21,3.98
1822,Helsinki,Finland,6.07,4.30
1823,Helsinki,Finland,4.27,4.41
1824,Helsinki,Finland,4.87,4.57
1825,Helsinki,Finland,4.54,4.56
1826,Helsinki,Finland,5.98,4.78
1827,Helsinki,Finland,4.65,4.94
1828,Helsinki,Finland,3.39,4.82
1829,Helsinki,Finland,2.07,4.25
1830,Helsinki,Finland,3.73,4.18
1831,Helsinki,Finland,3.95,4.04
1832,Helsinki,Finland,4.23,4.00
1833,Helsinki,Finland,4.46,3.78
1834,Helsinki,Finland,4.37,3.74
1835,Helsinki,Finland,3.68,3.78
1836,Helsinki,Finland,3.88,4.04
1837,Helsinki,Finland,3.86,4.06
1838,Helsinki,Finland,2.49,3.85
1839,Helsinki,Finland,3.46,3.74
1840,Helsinki,Finland,2.83,3.51
1841,Helsinki,Finland,4.32,3.50
1842,Helsinki,Finland,4.48,3.62
1843,Helsinki,Finland,4.56,3.71
1844,Helsinki,Finland,2.52,3.52
1845,Helsinki,Finland,3.23,3.63
1846,Helsinki,Finland,4.43,3.77
1847,Helsinki,Finland,4.16,3.96
1848,Helsinki,Finland,4.34,3.96
1849,Helsinki,Finland,3.3,3.79
1850,Helsinki,Finland,3.57,3.65
1851,Helsinki,Finland,4.48,3.93
1852,Helsinki,Finland,3.29,3.94
1853,Helsinki,Finland,4.25,3.91
1854,Helsinki,Finland,4.62,3.98
1855,Helsinki,Finland,3.27,3.83
1856,Helsinki,Finland,2.36,3.69
1857,Helsinki,Finland,4.38,3.81
1858,Helsinki,Finland,5.04,3.89
1859,Helsinki,Finland,5.25,4.17
1860,Helsinki,Finland,3.78,4.10
1861,Helsinki,Finland,4.04,4.02
1862,Helsinki,Finland,1.96,3.83
1863,Helsinki,Finland,5.75,4.31
1864,Helsinki,Finland,3.51,4.19
1865,Helsinki,Finland,3.47,3.97
1866,Helsinki,Finland,4.22,3.82
1867,Helsinki,Finland,1.72,3.52
1868,Helsinki,Finland,4.35,3.57
1869,Helsinki,Finland,4.75,3.97
1870,Helsinki,Finland,3.38,3.63
1871,Helsinki,Finland,2.32,3.46
1872,Helsinki,Finland,5.38,3.73
1873,Helsinki,Finland,4.77,3.81
1874,Helsinki,Finland,4.7,4.24
1875,Helsinki,Finland,2.14,3.92
1876,Helsinki,Finland,3.05,3.68
1877,Helsinki,Finland,3.2,3.65
1878,Helsinki,Finland,5.08,4.05
1879,Helsinki,Finland,3.86,3.83
1880,Helsinki,Finland,3.87,3.70
1881,Helsinki,Finland,2.71,3.42
1882,Helsinki,Finland,5.21,3.85
1883,Helsinki,Finland,4.41,4.05
1884,Helsinki,Finland,4.2,4.19
1885,Helsinki,Finland,4.1,4.05
1886,Helsinki,Finland,4.42,4.13
1887,Helsinki,Finland,4.78,4.26
1888,Helsinki,Finland,2.19,4.19
1889,Helsinki,Finland,4.27,4.05
1890,Helsinki,Finland,5.12,4.15
1891,Helsinki,Finland,4.46,4.19
1892,Helsinki,Finland,2.99,4.03
1893,Helsinki,Finland,2.47,3.75
1894,Helsinki,Finland,5.2,3.81
1895,Helsinki,Finland,3.83,4.05
1896,Helsinki,Finland,4.91,4.14
1897,Helsinki,Finland,4.77,4.09
1898,Helsinki,Finland,4.62,4.11
1899,Helsinki,Finland,3.42,4.17
1900,Helsinki,Finland,3.49,4.32
1901,Helsinki,Finland,4.7,4.25
1902,Helsinki,Finland,2.25,4.02
1903,Helsinki,Finland,5.29,4.08
1904,Helsinki,Finland,3.53,3.90
1905,Helsinki,Finland,4.63,3.90
1906,Helsinki,Finland,5.22,4.16
1907,Helsinki,Finland,3.3,4.13
1908,Helsinki,Finland,3.96,4.03
1909,Helsinki,Finland,4.02,4.28
1910,Helsinki,Finland,5.59,4.32
1911,Helsinki,Finland,4.65,4.48
1912,Helsinki,Finland,3.85,4.37
1913,Helsinki,Finland,5.15,4.36
1914,Helsinki,Finland,5.27,4.64
1915,Helsinki,Finland,2.33,4.41
1916,Helsinki,Finland,4.19,4.43
1917,Helsinki,Finland,3.51,4.14
1918,Helsinki,Finland,4.34,4.09
1919,Helsinki,Finland,3.69,4.07
1920,Helsinki,Finland,5.67,4.14
1921,Helsinki,Finland,4.61,4.05
1922,Helsinki,Finland,3.69,4.24
1923,Helsinki,Finland,3.58,4.16
1924,Helsinki,Finland,4.75,4.33
1925,Helsinki,Finland,5.04,4.43
1926,Helsinki,Finland,3.6,4.42
1927,Helsinki,Finland,4.08,4.19
1928,Helsinki,Finland,4.17,4.13
1929,Helsinki,Finland,3.92,4.16
1930,Helsinki,Finland,5.84,4.49
1931,Helsinki,Finland,3.66,4.33
1932,Helsinki,Finland,5.27,4.36
1933,Helsinki,Finland,4.14,4.44
1934,Helsinki,Finland,6.51,4.79
1935,Helsinki,Finland,5.08,4.92
1936,Helsinki,Finland,5.65,5.16
1937,Helsinki,Finland,5.66,5.14
1938,Helsinki,Finland,6.45,5.54
1939,Helsinki,Finland,5.11,5.51
1940,Helsinki,Finland,3.04,5.36
1941,Helsinki,Finland,1.96,4.71
1942,Helsinki,Finland,2.4,4.32
1943,Helsinki,Finland,5.95,4.37
1944,Helsinki,Finland,5.36,4.32
1945,Helsinki,Finland,4.27,4.01
1946,Helsinki,Finland,4.56,3.93
1947,Helsinki,Finland,3.86,4.05
1948,Helsinki,Finland,5.27,4.52
1949,Helsinki,Finland,6.22,5.07
1950,Helsinki,Finland,4.8,4.91
1951,Helsinki,Finland,4.65,4.80
1952,Helsinki,Finland,3.95,4.76
1953,Helsinki,Finland,5.38,4.88
1954,Helsinki,Finland,4.73,5.00
1955,Helsinki,Finland,3.54,4.75
1956,Helsinki,Finland,2.97,4.29
1957,Helsinki,Finland,5.03,4.32
1958,Helsinki,Finland,3.53,4.16
1959,Helsinki,Finland,5.49,4.38
1960,Helsinki,Finland,4.4,4.24
1961,Helsinki,Finland,6.12,4.44
1962,Helsinki,Finland,4.1,4.52
1963,Helsinki,Finland,3.95,4.66
1964,Helsinki,Finland,4.67,4.61
1965,Helsinki,Finland,4.05,4.68
1966,Helsinki,Finland,3.28,4.37
1967,Helsinki,Finland,4.86,4.43
1968,Helsinki,Finland,3.97,4.13
1969,Helsinki,Finland,3.43,4.03
1970,Helsinki,Finland,3.91,4.02
1971,Helsinki,Finland,4.62,4.02
1972,Helsinki,Finland,5.55,4.23
1973,Helsinki,Finland,4.93,4.47
1974,Helsinki,Finland,6.03,4.63
1975,Helsinki,Finland,6.38,4.98
1976,Helsinki,Finland,3.28,4.96
1977,Helsinki,Finland,4.08,4.98
1978,Helsinki,Finland,3.18,4.78
1979,Helsinki,Finland,4.27,4.59
1980,Helsinki,Finland,4.09,4.47
1981,Helsinki,Finland,4.5,4.25
1982,Helsinki,Finland,4.88,4.04
