year,city,country,avg_temp,weekly_avg_london
1743,London,United Kingdom,7.54,
1744,London,United Kingdom,10.34,
1745,London,United Kingdom,4.13,
1746,London,United Kingdom,,
1747,London,United Kingdom,,
1748,London,United Kingdom,,
1749,London,United Kingdom,,7.34
1750,London,United Kingdom,10.25,8.24
1751,London,United Kingdom,9.99,8.12
1752,London,United Kingdom,6.54,8.93
1753,London,United Kingdom,9.42,9.05
1754,London,United Kingdom,9.2,9.08
1755,London,United Kingdom,8.95,9.06
1756,London,United Kingdom,9.42,9.11
1757,London,United Kingdom,9.34,8.98
1758,London,United Kingdom,8.85,8.82
1759,London,United Kingdom,9.8,9.28
1760,London,United Kingdom,9.26,9.26
1761,London,United Kingdom,9.69,9.33
1762,London,United Kingdom,8.99,9.34
1763,London,United Kingdom,8.75,9.24
1764,London,United Kingdom,9.14,9.21
1765,London,United Kingdom,8.95,9.23
1766,London,United Kingdom,9.07,9.12
1767,London,United Kingdom,8.98,9.08
1768,London,United Kingdom,9.12,9.00
1769,London,United Kingdom,9.04,9.01
1770,London,United Kingdom,9.03,9.05
1771,London,United Kingdom,8.78,9.00
1772,London,United Kingdom,9.36,9.05
1773,London,United Kingdom,9.33,9.09
1774,London,United Kingdom,9.1,9.11
1775,London,United Kingdom,10.1,9.25
1776,London,United Kingdom,9.21,9.27
1777,London,United Kingdom,9.25,9.30
1778,London,United Kingdom,9.8,9.45
1779,London,United Kingdom,10.76,9.65
1780,London,United Kingdom,9.67,9.70
1781,London,United Kingdom,10.41,9.89
1782,London,United Kingdom,8.44,9.65
1783,London,United Kingdom,9.97,9.76
1784,London,United Kingdom,8.29,9.62
1785,London,United Kingdom,8.54,9.44
1786,London,United Kingdom,8.35,9.10
1787,London,United Kingdom,9.53,9.08
1788,London,United Kingdom,9.39,8.93
1789,London,United Kingdom,9.12,9.03
1790,London,United Kingdom,9.67,8.98
1791,London,United Kingdom,9.59,9.17
1792,London,United Kingdom,9.56,9.32
1793,London,United Kingdom,9.59,9.49
1794,London,United Kingdom,10,9.56
1795,London,United Kingdom,9.19,9.53
1796,London,United Kingdom,9.5,9.59
1797,London,United Kingdom,9.62,9.58
1798,London,United Kingdom,9.83,9.61
1799,London,United Kingdom,7.94,9.38
1800,London,United Kingdom,9.32,9.34
1801,London,United Kingdom,9.68,9.30
1802,London,United Kingdom,9.31,9.31
1803,London,United Kingdom,8.79,9.21
1804,London,United Kingdom,9.37,9.18
1805,London,United Kingdom,8.56,9.00
1806,London,United Kingdom,9.87,9.27
1807,London,United Kingdom,9.03,9.23
1808,London,United Kingdom,8.91,9.12
1809,London,United Kingdom,8.99,9.07
1810,London,United Kingdom,8.97,9.10
1811,London,United Kingdom,10.1,9.20
1812,London,United Kingdom,8.58,9.21
1813,London,United Kingdom,9.13,9.10
1814,London,United Kingdom,7.93,8.94
1815,London,United Kingdom,8.99,8.96
1816,London,United Kingdom,7.98,8.81
1817,London,United Kingdom,8.95,8.81
1818,London,United Kingdom,9.88,8.78
1819,London,United Kingdom,9.58,8.92
1820,London,United Kingdom,8.61,8.85
1821,London,United Kingdom,9.63,9.09
1822,London,United Kingdom,10.36,9.28
1823,London,United Kingdom,8.8,9.40
1824,London,United Kingdom,9.65,9.50
1825,London,United Kingdom,9.98,9.52
1826,London,United Kingdom,10.12,9.59
1827,London,United Kingdom,9.37,9.70
1828,London,United Kingdom,10.1,9.77
1829,London,United Kingdom,7.95,9.42
1830,London,United Kingdom,8.78,9.42
1831,London,United Kingdom,10.01,9.47
1832,London,United Kingdom,9.24,9.37
1833,London,United Kingdom,9.4,9.26
1834,London,United Kingdom,10.59,9.44
1835,London,United Kingdom,9.48,9.35
1836,London,United Kingdom,9.04,9.51
1837,London,United Kingdom,8.85,9.52
1838,London,United Kingdom,8.05,9.24
1839,London,United Kingdom,8.89,9.19
1840,London,United Kingdom,8.68,9.08
1841,London,United Kingdom,9.12,8.87
1842,London,United Kingdom,9.43,8.87
1843,London,United Kingdom,9.4,8.92
1844,London,United Kingdom,8.85,8.92
1845,London,United Kingdom,8.46,8.98
1846,London,United Kingdom,10.48,9.20
1847,London,United Kingdom,9.24,9.28
1848,London,United Kingdom,9.52,9.34
1849,London,United Kingdom,9.42,9.34
1850,London,United Kingdom,9.06,9.29
1851,London,United Kingdom,9.17,9.34
1852,London,United Kingdom,9.96,9.55
