year,city,country,avg_temp,weekly_avg_quito
1857,Quito,Ecuador,16.03,
1858,Quito,Ecuador,16.38,
1859,Quito,Ecuador,16.4,
1860,Quito,Ecuador,16.25,
1861,Quito,Ecuador,,
1862,Quito,Ecuador,,
1863,Quito,Ecuador,16.4,16.29
1864,Quito,Ecuador,,16.36
1865,Quito,Ecuador,,16.35
1866,Quito,Ecuador,16.35,16.33
1867,Quito,Ecuador,16.63,16.46
1868,Quito,Ecuador,16.5,16.47
1869,Quito,Ecuador,17.18,16.61
1870,Quito,Ecuador,,16.67
1871,Quito,Ecuador,,16.67
1872,Quito,Ecuador,,16.67
1873,Quito,Ecuador,,16.77
1874,Quito,Ecuador,,16.84
1875,Quito,Ecuador,,17.18
1876,Quito,Ecuador,,#DIV/0!
1877,Quito,Ecuador,,#DIV/0!
1878,Quito,Ecuador,,#DIV/0!
1879,Quito,Ecuador,,#DIV/0!
1880,Quito,Ecuador,,#DIV/0!
1881,Quito,Ecuador,16.69,16.69
1882,Quito,Ecuador,16.25,16.47
1883,Quito,Ecuador,16.01,16.32
1884,Quito,Ecuador,15.97,16.23
1885,Quito,Ecuador,,16.23
1886,Quito,Ecuador,16.28,16.24
1887,Quito,Ecuador,16.12,16.22
1888,Quito,Ecuador,16.22,16.14
1889,Quito,Ecuador,,16.12
1890,Quito,Ecuador,16.06,16.13
1891,Quito,Ecuador,16.47,16.23
1892,Quito,Ecuador,16.17,16.22
1893,Quito,Ecuador,15.9,16.16
1894,Quito,Ecuador,16.27,16.18
1895,Quito,Ecuador,16.61,16.25
1896,Quito,Ecuador,16.73,16.32
1897,Quito,Ecuador,16.71,16.41
1898,Quito,Ecuador,16.28,16.38
1899,Quito,Ecuador,16.49,16.43
1900,Quito,Ecuador,16.99,16.58
1901,Quito,Ecuador,16.53,16.62
1902,Quito,Ecuador,16.67,16.63
1903,Quito,Ecuador,16.62,16.61
1904,Quito,Ecuador,16.26,16.55
1905,Quito,Ecuador,16.8,16.62
1906,Quito,Ecuador,16.72,16.66
1907,Quito,Ecuador,16.31,16.56
1908,Quito,Ecuador,16.23,16.52
1909,Quito,Ecuador,16.15,16.44
1910,Quito,Ecuador,15.96,16.35
1911,Quito,Ecuador,16.53,16.39
1912,Quito,Ecuador,16.82,16.39
1913,Quito,Ecuador,16.36,16.34
1914,Quito,Ecuador,16.96,16.43
1915,Quito,Ecuador,16.97,16.54
1916,Quito,Ecuador,16.35,16.56
1917,Quito,Ecuador,16.04,16.58
1918,Quito,Ecuador,16.39,16.56
1919,Quito,Ecuador,16.88,16.56
1920,Quito,Ecuador,16.79,16.63
