year,city,country,avg_sf,weekly_avg_sf
1849,SF,USA,14.12,
1850,SF,USA,13.8,
1851,SF,USA,14.39,
1852,SF,USA,13.81,
1853,SF,USA,14.4,
1854,SF,USA,13.98,
1855,SF,USA,14.2,14.1
1856,SF,USA,14.1,14.1
1857,SF,USA,14.78,14.24
1858,SF,USA,14.19,14.21
1859,SF,USA,13.71,14.19
1860,SF,USA,13.81,14.11
1861,SF,USA,14.88,14.24
1862,SF,USA,14.43,14.27
1863,SF,USA,14.43,14.32
1864,SF,USA,15.18,14.38
1865,SF,USA,14.32,14.39
1866,SF,USA,14.67,14.53
1867,SF,USA,14.46,14.62
1868,SF,USA,14.25,14.53
1869,SF,USA,14.57,14.55
1870,SF,USA,14.19,14.52
1871,SF,USA,14.34,14.4
1872,SF,USA,14.63,14.44
1873,SF,USA,14.46,14.41
1874,SF,USA,14.09,14.36
1875,SF,USA,14.76,14.43
1876,SF,USA,14.44,14.42
1877,SF,USA,15.03,14.54
1878,SF,USA,14.37,14.54
1879,SF,USA,14.2,14.48
1880,SF,USA,13.22,14.3
1881,SF,USA,14.39,14.34
1882,SF,USA,13.58,14.18
1883,SF,USA,13.93,14.1
1884,SF,USA,14.05,13.96
1885,SF,USA,15.05,14.06
1886,SF,USA,14.58,14.11
1887,SF,USA,14.38,14.28
1888,SF,USA,14.7,14.32
1889,SF,USA,14.81,14.5
1890,SF,USA,14.05,14.52
1891,SF,USA,14.46,14.58
1892,SF,USA,14.05,14.43
1893,SF,USA,13.4,14.26
1894,SF,USA,13.8,14.18
1895,SF,USA,13.95,14.07
1896,SF,USA,14.22,13.99
1897,SF,USA,13.81,13.96
1898,SF,USA,13.77,13.86
1899,SF,USA,14.04,13.86
1900,SF,USA,14.64,14.03
1901,SF,USA,14.34,14.11
1902,SF,USA,14.07,14.13
1903,SF,USA,14.12,14.11
1904,SF,USA,14.5,14.21
1905,SF,USA,14.39,14.3
1906,SF,USA,14.81,14.41
1907,SF,USA,14.34,14.37
1908,SF,USA,14.01,14.32
1909,SF,USA,14.05,14.32
1910,SF,USA,14.17,14.32
1911,SF,USA,13.46,14.18
1912,SF,USA,13.95,14.11
1913,SF,USA,14.38,14.05
1914,SF,USA,14.33,14.05
1915,SF,USA,14.3,14.09
1916,SF,USA,13.61,14.03
1917,SF,USA,14.06,14.01
1918,SF,USA,14.14,14.11
1919,SF,USA,13.6,14.06
1920,SF,USA,13.72,13.97
1921,SF,USA,14.24,13.95
1922,SF,USA,13.61,13.85
1923,SF,USA,14.13,13.93
1924,SF,USA,14.1,13.93
1925,SF,USA,14.34,13.96
1926,SF,USA,15.14,14.18
1927,SF,USA,14.24,14.26
1928,SF,USA,14.32,14.27
1929,SF,USA,14.25,14.36
1930,SF,USA,14.25,14.38
1931,SF,USA,14.93,14.5
1932,SF,USA,14.24,14.48
