year,city,country,avg_temp,weekly_avg_rio
1832,Rio De Janeiro,Brazil,23.05,
1833,Rio De Janeiro,Brazil,24.11,
1834,Rio De Janeiro,Brazil,23.27,
1835,Rio De Janeiro,Brazil,22.73,
1836,Rio De Janeiro,Brazil,22.91,
1837,Rio De Janeiro,Brazil,22.29,
1838,Rio De Janeiro,Brazil,22.81,23.02
1839,Rio De Janeiro,Brazil,22.54,22.95
1840,Rio De Janeiro,Brazil,23.32,22.84
1841,Rio De Janeiro,Brazil,22.97,22.80
1842,Rio De Janeiro,Brazil,23.41,22.89
1843,Rio De Janeiro,Brazil,23.55,22.98
1844,Rio De Janeiro,Brazil,,23.10
1845,Rio De Janeiro,Brazil,,23.16
1846,Rio De Janeiro,Brazil,,23.31
1847,Rio De Janeiro,Brazil,,23.31
1848,Rio De Janeiro,Brazil,,23.48
1849,Rio De Janeiro,Brazil,,23.55
1850,Rio De Janeiro,Brazil,,#DIV/0!
1851,Rio De Janeiro,Brazil,23.53,23.53
1852,Rio De Janeiro,Brazil,23.74,23.64
1853,Rio De Janeiro,Brazil,23.76,23.68
1854,Rio De Janeiro,Brazil,23.83,23.72
1855,Rio De Janeiro,Brazil,23.89,23.75
1856,Rio De Janeiro,Brazil,22.83,23.60
1857,Rio De Janeiro,Brazil,23.46,23.58
1858,Rio De Janeiro,Brazil,22.37,23.41
1859,Rio De Janeiro,Brazil,23.04,23.31
1860,Rio De Janeiro,Brazil,23.91,23.33
1861,Rio De Janeiro,Brazil,23.04,23.22
1862,Rio De Janeiro,Brazil,23.04,23.10
1863,Rio De Janeiro,Brazil,22.95,23.12
1864,Rio De Janeiro,Brazil,23.02,23.05
1865,Rio De Janeiro,Brazil,22.89,23.13
1866,Rio De Janeiro,Brazil,23.1,23.14
1867,Rio De Janeiro,Brazil,23.26,23.04
1868,Rio De Janeiro,Brazil,24.32,23.23
1869,Rio De Janeiro,Brazil,24.2,23.39
1870,Rio De Janeiro,Brazil,24.22,23.57
1871,Rio De Janeiro,Brazil,23.84,23.69
1872,Rio De Janeiro,Brazil,23.75,23.81
1873,Rio De Janeiro,Brazil,23.94,23.93
1874,Rio De Janeiro,Brazil,23.23,23.93
1875,Rio De Janeiro,Brazil,22.85,23.72
1876,Rio De Janeiro,Brazil,23.05,23.55
1877,Rio De Janeiro,Brazil,23.8,23.49
1878,Rio De Janeiro,Brazil,24.3,23.56
1879,Rio De Janeiro,Brazil,22.84,23.43
1880,Rio De Janeiro,Brazil,24.01,23.44
1881,Rio De Janeiro,Brazil,23.29,23.45
1882,Rio De Janeiro,Brazil,22.65,23.42
1883,Rio De Janeiro,Brazil,22.98,23.41
1884,Rio De Janeiro,Brazil,22.85,23.27
1885,Rio De Janeiro,Brazil,23.75,23.20
1886,Rio De Janeiro,Brazil,22.94,23.21
1887,Rio De Janeiro,Brazil,23.49,23.14
1888,Rio De Janeiro,Brazil,23.82,23.21
1889,Rio De Janeiro,Brazil,24.17,23.43
1890,Rio De Janeiro,Brazil,23.38,23.49
1891,Rio De Janeiro,Brazil,23.55,23.59
1892,Rio De Janeiro,Brazil,23.4,23.54
1893,Rio De Janeiro,Brazil,22.68,23.50
1894,Rio De Janeiro,Brazil,23.62,23.52
1895,Rio De Janeiro,Brazil,23.36,23.45
1896,Rio De Janeiro,Brazil,23.35,23.33
1897,Rio De Janeiro,Brazil,23.31,23.32
1898,Rio De Janeiro,Brazil,23.54,23.32
1899,Rio De Janeiro,Brazil,23.95,23.40
1900,Rio De Janeiro,Brazil,23.48,23.52
1901,Rio De Janeiro,Brazil,23.07,23.44
