id,key,value,type
26027659,highway,traffic_signals,regular
26027659,source,Yahoo,regular
26027671,highway,traffic_signals,regular
26027671,source,Yahoo,regular
26028045,exit_to,Central Expressway,regular
26028045,highway,motorway_junction,regular
26028045,ref,23,regular
26028045,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
26028109,highway,motorway_junction,regular
26028109,ref,399A,regular
26028114,highway,motorway_junction,regular
26028114,ref,400,regular
26028714,highway,traffic_signals,regular
26028749,highway,traffic_signals,regular
26029008,highway,traffic_signals,regular
26029664,highway,motorway_junction,regular
26029664,ref,22,regular
26029664,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
26029683,highway,motorway_junction,regular
26029683,noref,yes,regular
26029773,highway,traffic_signals,regular
26029773,source,Yahoo,regular
26029776,highway,traffic_signals,regular
26031411,highway,traffic_signals,regular
26031465,highway,traffic_signals,regular
26031466,highway,traffic_signals,regular
26050456,highway,traffic_signals,regular
26240920,highway,traffic_signals,regular
26240920,source,Bing,regular
26403564,ele,31 ft,regular
26403564,ref,32R,regular
26506854,created_by,JOSM,regular
26511895,highway,traffic_signals,regular
26581088,highway,traffic_signals,regular
29381109,access,private,regular
29381109,barrier,gate,regular
29382247,barrier,gate,regular
29524017,barrier,gate,regular
30236412,highway,traffic_signals,regular
30236612,alt_name,Downtown Mountain View,regular
30236612,name,Mountain View,regular
30236612,network,Caltrain,regular
30236612,railway,station,regular
30236612,wikidata,Q5303513,regular
30236612,wikipedia,en:Downtown Mountain View Station,regular
30882055,highway,traffic_signals,regular
30882055,source,bing;survey,regular
32351604,highway,traffic_signals,regular
32351604,source,Bing,regular
32789021,highway,motorway_junction,regular
32789021,ref,1,regular
32789021,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf,regular
33343473,highway,traffic_signals,regular
33343494,exit_to,Evelyn Avenue,regular
33343494,highway,motorway_junction,regular
33343494,noref,yes,regular
33343494,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf,regular
33375254,highway,traffic_signals,regular
33375254,source,Bing,regular
34035919,highway,traffic_signals,regular
34035919,source,Bing,regular
65381289,highway,motorway_junction,regular
65381289,ref,399,regular
65382597,highway,motorway_junction,regular
65382597,ref,400A,regular
65382609,highway,traffic_signals,regular
65385272,highway,turning_circle,regular
65385555,highway,traffic_signals,regular
65386023,right,Shoreline Boulevard,exit_to
65386023,highway,motorway_junction,regular
65386023,ref,24B;24C,regular
65386023,left,24,ref
65386023,right,24C,ref
65386023,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
65386032,highway,motorway_junction,regular
65386032,ref,398,regular
65388609,highway,traffic_signals,regular
65388612,highway,traffic_signals,regular
65388612,source,bing;survey,regular
65388612,direction,forward,traffic_signals
65389683,highway,motorway_junction,regular
65389683,ref,398B;399,regular
65389683,left,398,ref
65389683,right,399,ref
65391099,power,tower,regular
65391101,power,tower,regular
65391110,power,tower,regular
65391112,power,tower,regular
65391114,power,tower,regular
65393430,highway,traffic_signals,regular
65393430,traffic_signals,signal,regular
65393813,highway,motorway_junction,regular
65393813,ref,397,regular
65393813,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/101.pdf,regular
65393815,highway,traffic_signals,regular
65393818,railway,level_crossing,regular
65396446,power,tower,regular
65396448,power,tower,regular
65396450,power,tower,regular
65396456,power,tower,regular
65396457,power,tower,regular
65396646,highway,crossing,regular
65398474,highway,motorway_junction,regular
65398474,ref,400,regular
65400935,highway,motorway_junction,regular
65400935,ref,400C,regular
65400964,highway,traffic_signals,regular
65403721,noexit,yes,regular
65405927,highway,traffic_signals,regular
65405927,traffic_signals,ramp_meter,regular
65405940,highway,motorway_junction,regular
65405940,ref,398A,regular
65407393,highway,traffic_signals,regular
65407393,traffic_signals,signal,regular
65410722,highway,turning_circle,regular
65411593,highway,traffic_signals,regular
65415228,highway,turning_circle,regular
65417603,highway,traffic_signals,regular
65417603,traffic_signals,ramp_meter,regular
65417614,highway,traffic_signals,regular
65417614,traffic_signals,signal,regular
65418241,highway,turning_circle,regular
65418269,highway,turning_circle,regular
65418297,highway,turning_circle,regular
65418338,junction,roundabout,regular
65418362,highway,turning_circle,regular
65418421,highway,stop,regular
65420012,highway,turning_circle,regular
65421581,crossing,zebra,regular
65421581,highway,crossing,regular
65421590,highway,turning_circle,regular
65421590,source,Yahoo,regular
65421635,highway,stop,regular
65421635,source,bing;survey,regular
65421733,highway,turning_circle,regular
65422928,highway,turning_circle,regular
65423321,highway,traffic_signals,regular
65423321,surface,paved,regular
65423636,highway,turning_circle,regular
65423639,highway,turning_circle,regular
65424001,highway,turning_circle,regular
65424492,noexit,yes,regular
65424682,highway,turning_circle,regular
65426800,highway,traffic_signals,regular
65426806,highway,turning_circle,regular
65426806,source,Yahoo,regular
65430024,highway,turning_circle,regular
65430026,highway,turning_circle,regular
65431519,highway,turning_circle,regular
65433846,highway,traffic_signals,regular
65433897,highway,traffic_signals,regular
65434042,highway,stop,regular
65434042,stop,all,regular
65434046,highway,stop,regular
65434046,stop,all,regular
65434053,highway,stop,regular
65434053,stop,all,regular
65435727,highway,turning_circle,regular
65435873,highway,turning_circle,regular
65436030,highway,turning_circle,regular
65437033,highway,traffic_signals,regular
65441652,highway,turning_circle,regular
65444188,highway,turning_circle,regular
65445318,highway,turning_circle,regular
65445792,noexit,yes,regular
65446020,highway,turning_circle,regular
65446532,highway,turning_circle,regular
65446827,highway,turning_circle,regular
65449613,highway,traffic_signals,regular
65450293,noexit,yes,regular
65450299,junction,roundabout,regular
65450828,highway,turning_circle,regular
65450831,highway,turning_circle,regular
65451718,highway,turning_circle,regular
65451896,highway,turning_circle,regular
65455579,highway,turning_circle,regular
65456590,highway,turning_circle,regular
65458885,highway,turning_circle,regular
65459559,highway,turning_circle,regular
65460864,highway,turning_circle,regular
65460866,highway,turning_circle,regular
65461341,highway,stop,regular
65461341,source,bing;survey,regular
65461391,highway,turning_circle,regular
65461861,highway,turning_circle,regular
65461947,highway,turning_circle,regular
65462521,highway,turning_circle,regular
65464507,highway,turning_circle,regular
65464507,source,Yahoo,regular
65465784,highway,turning_circle,regular
65466948,highway,stop,regular
65466948,stop,all,regular
65466957,highway,stop,regular
65466967,junction,roundabout,regular
65467611,noexit,yes,regular
65470549,highway,stop,regular
65470549,stop,all,regular
65470549,traffic_sign,stop,regular
65470805,noexit,yes,regular
65470967,highway,turning_circle,regular
65471078,highway,traffic_signals,regular
65471080,highway,traffic_signals,regular
65471080,source,Yahoo,regular
65471084,highway,traffic_signals,regular
65472058,highway,traffic_signals,regular
65474265,highway,turning_circle,regular
65475381,highway,turning_circle,regular
65475859,highway,turning_circle,regular
65477641,railway,level_crossing,regular
65477660,railway,level_crossing,regular
65480623,highway,turning_circle,regular
65480627,highway,turning_circle,regular
65480631,highway,turning_circle,regular
65481774,highway,turning_circle,regular
65481774,source,bing,regular
65481791,highway,turning_circle,regular
65482191,highway,stop,regular
65482194,highway,traffic_signals,regular
65482454,highway,turning_circle,regular
65482541,highway,turning_circle,regular
65482638,highway,traffic_signals,regular
65482640,highway,turning_circle,regular
65482809,highway,turning_circle,regular
65485606,highway,turning_circle,regular
65485608,highway,turning_circle,regular
65485899,button_operated,yes,regular
65485899,crossing,no,regular
65485899,highway,traffic_signals,regular
65485960,highway,turning_circle,regular
65485962,highway,turning_circle,regular
65487729,highway,turning_circle,regular
65488513,highway,turning_circle,regular
65489297,highway,turning_circle,regular
65490040,highway,turning_loop,regular
65491153,highway,turning_circle,regular
65491532,highway,turning_circle,regular
65492098,highway,turning_circle,regular
65492098,source,bing,regular
65492412,highway,turning_circle,regular
65496396,highway,turning_circle,regular
65497105,traffic_calming,table,regular
65498221,highway,traffic_signals,regular
65498402,highway,turning_circle,regular
65498588,highway,turning_circle,regular
65500038,highway,turning_circle,regular
65500038,source,Yahoo,regular
65501154,noexit,yes,regular
65501806,junction,roundabout,regular
65502001,highway,turning_circle,regular
65502143,highway,turning_circle,regular
65502893,highway,turning_circle,regular
65503027,highway,turning_circle,regular
65503167,highway,traffic_signals,regular
65503802,highway,turning_circle,regular
65503946,junction,roundabout,regular
65504108,highway,turning_circle,regular
65504854,highway,turning_circle,regular
65505135,highway,turning_circle,regular
65505139,highway,turning_circle,regular
65505346,highway,traffic_signals,regular
65505438,noexit,yes,regular
65506340,highway,traffic_signals,regular
65509050,highway,turning_circle,regular
65509184,highway,turning_circle,regular
65509355,highway,turning_circle,regular
65509618,highway,turning_circle,regular
65511483,highway,traffic_signals,regular
65511483,source,Yahoo,regular
65512145,highway,turning_circle,regular
65512612,highway,turning_circle,regular
65512735,highway,turning_circle,regular
65513338,highway,turning_circle,regular
65513383,highway,turning_circle,regular
65513383,source,Yahoo,regular
65514637,highway,turning_circle,regular
65514716,highway,stop,regular
65517338,highway,turning_circle,regular
65517670,highway,turning_circle,regular
65517888,highway,turning_circle,regular
65518146,highway,traffic_signals,regular
65518149,highway,traffic_signals,regular
65518162,highway,traffic_signals,regular
65518164,highway,traffic_signals,regular
65518165,highway,traffic_signals,regular
65518741,highway,turning_circle,regular
65518741,source,Yahoo,regular
65519755,highway,turning_circle,regular
65520103,highway,traffic_signals,regular
65521356,highway,turning_circle,regular
65521796,highway,turning_circle,regular
65522311,highway,turning_circle,regular
65522735,highway,turning_circle,regular
65522902,junction,roundabout,regular
65522902,highway,survey,source
65524295,noexit,yes,regular
65524298,noexit,yes,regular
65524440,highway,turning_circle,regular
65524576,highway,turning_circle,regular
65527169,highway,turning_circle,regular
65528299,highway,turning_circle,regular
65528961,highway,turning_circle,regular
65530219,highway,turning_circle,regular
65531304,highway,turning_circle,regular
65531938,highway,turning_circle,regular
65531941,highway,turning_circle,regular
65531994,highway,traffic_signals,regular
65532028,barrier,bollard,regular
65532777,noexit,yes,regular
65533150,highway,turning_circle,regular
65533238,highway,turning_circle,regular
65533240,highway,turning_circle,regular
65534205,highway,stop,regular
65534206,highway,traffic_signals,regular
65534216,highway,traffic_signals,regular
65534216,direction,backward,traffic_signals
65534219,highway,stop,regular
65534221,highway,stop,regular
65535913,highway,stop,regular
65535917,highway,traffic_signals,regular
65536726,highway,turning_circle,regular
65538746,highway,turning_circle,regular
65538748,highway,turning_circle,regular
65541070,highway,stop,regular
65541070,stop,all,regular
65541070,traffic_sign,stop,regular
65543596,highway,turning_circle,regular
65543596,source,Yahoo,regular
65543768,highway,stop,regular
65543768,stop,all,regular
65544005,highway,turning_circle,regular
65547268,highway,traffic_signals,regular
65547268,traffic_signals,signal,regular
65548139,highway,turning_circle,regular
65548741,noexit,yes,regular
65548745,noexit,yes,regular
65549770,highway,turning_circle,regular
65549777,highway,turning_circle,regular
65550150,highway,stop,regular
65550802,highway,turning_circle,regular
65551734,highway,turning_circle,regular
65553068,highway,stop,regular
65553635,highway,turning_circle,regular
65553635,source,Yahoo,regular
65554905,highway,turning_circle,regular
65557080,highway,turning_circle,regular
65559374,highway,traffic_signals,regular
65560578,highway,turning_circle,regular
65560773,highway,turning_circle,regular
65561413,highway,stop,regular
65561690,highway,traffic_signals,regular
65561690,source,Yahoo,regular
65561722,highway,traffic_signals,regular
65562348,highway,stop,regular
65564220,highway,turning_circle,regular
65564220,surface,paved,regular
65565764,highway,turning_circle,regular
65565775,highway,turning_circle,regular
65565775,source,Yahoo,regular
65566948,highway,turning_circle,regular
65567970,highway,turning_circle,regular
65568535,highway,turning_circle,regular
65569365,highway,turning_circle,regular
65569709,highway,turning_circle,regular
65571183,highway,traffic_signals,regular
65571193,highway,traffic_signals,regular
65571415,highway,turning_circle,regular
65571540,highway,traffic_signals,regular
65572031,highway,turning_circle,regular
65572256,highway,turning_circle,regular
65573263,highway,turning_circle,regular
65573997,highway,turning_circle,regular
65574799,highway,turning_circle,regular
65576052,highway,turning_circle,regular
65576140,highway,turning_loop,regular
65576573,highway,turning_circle,regular
65577297,highway,turning_circle,regular
65578324,highway,traffic_signals,regular
65578455,highway,turning_loop,regular
65578579,highway,turning_circle,regular
65579124,highway,turning_circle,regular
65579519,highway,turning_circle,regular
65579520,highway,turning_circle,regular
65581534,highway,stop,regular
65581721,highway,turning_circle,regular
65581868,highway,turning_circle,regular
65582299,highway,turning_circle,regular
65582853,highway,turning_circle,regular
65583358,highway,turning_circle,regular
65584777,highway,turning_circle,regular
65585309,highway,turning_circle,regular
65587945,highway,turning_circle,regular
65588840,highway,turning_circle,regular
65589105,junction,roundabout,regular
65590468,highway,turning_circle,regular
65590881,barrier,gate,regular
65592826,highway,turning_circle,regular
65593493,highway,turning_circle,regular
65593493,surface,paved,regular
65593519,highway,turning_circle,regular
65595003,highway,turning_circle,regular
65595403,highway,turning_circle,regular
65596661,highway,turning_circle,regular
65596661,source,Yahoo,regular
65597025,highway,turning_circle,regular
65597211,highway,turning_circle,regular
65597211,source,Yahoo,regular
65599589,highway,turning_circle,regular
65599589,source,Yahoo,regular
65600554,noexit,yes,regular
65600904,highway,turning_circle,regular
65602701,highway,turning_circle,regular
65602703,highway,turning_circle,regular
65603381,highway,traffic_signals,regular
65603381,traffic_signals,signal,regular
65604621,highway,turning_circle,regular
65605082,highway,turning_circle,regular
65606760,noexit,yes,regular
65606991,highway,turning_circle,regular
65608528,highway,traffic_signals,regular
65608528,source,bing,regular
65608528,surface,paved,regular
65608532,highway,traffic_signals,regular
65609003,highway,turning_circle,regular
65609503,highway,turning_circle,regular
65609990,highway,turning_circle,regular
65610484,noexit,yes,regular
65611158,highway,traffic_signals,regular
65611158,traffic_signals,signal,regular
65611169,highway,traffic_signals,regular
65611169,traffic_signals,signal,regular
65611181,highway,traffic_signals,regular
65611181,traffic_signals,signal,regular
