id,user,uid,version,changeset,timestamp
4304424,cf1011,2518336,14,54693403,2017-12-17T00:41:55Z
4321995,Minh Nguyen,33757,5,49088548,2017-05-30T00:45:53Z
4334869,stucki1,10786,13,13224113,2012-09-23T18:21:46Z
4336012,Edward,364,9,52298215,2017-09-23T08:57:49Z
4338473,myland123456,3584483,6,42071046,2016-09-11T05:16:42Z
4338513,Charles_Smothers,160148,5,18256668,2013-10-08T22:48:04Z
4338515,Charles_Smothers,160148,9,18256668,2013-10-08T22:48:04Z
4338517,KindredCoda,14293,2,4341064,2010-04-06T07:50:58Z
4338518,Charles_Smothers,160148,6,18256668,2013-10-08T22:48:04Z
4338519,Charles_Smothers,160148,4,18256668,2013-10-08T22:48:04Z
4338521,mikelmaron,999,1,231509,2007-03-08T02:41:07Z
4338522,KindredCoda,14293,3,4367796,2010-04-08T20:49:02Z
4338523,KindredCoda,14293,3,4341064,2010-04-06T07:47:45Z
4338528,Charles_Smothers,160148,5,18256668,2013-10-08T22:48:04Z
4338529,Charles_Smothers,160148,4,18256668,2013-10-08T22:48:04Z
4368969,jgkamat,3396807,16,48954542,2017-05-24T18:55:57Z
4368970,dbaron,481533,16,55108496,2018-01-02T18:33:22Z
4368972,Praewa (Patty) Boonlue,6022260,15,51819580,2017-09-07T17:36:10Z
4370022,piliga,3877019,13,50594423,2017-07-26T16:28:20Z
4370043,Stephen214,4018842,13,56768170,2018-02-28T20:58:09Z
4370045,dchiles,153669,9,42257244,2016-09-18T21:54:57Z
4626017,FahRadler,344561,10,26711255,2014-11-11T13:36:00Z
4626018,jinalfoflia,2847988,16,33954423,2015-09-11T10:54:39Z
4626020,RichRico,2219338,12,49506736,2017-06-13T17:08:09Z
4626021,egore911,8764,11,19815775,2014-01-05T00:18:59Z
4626484,beddy,3207726,8,40877959,2016-07-19T18:56:38Z
4629955,n76,318696,22,17943971,2013-09-20T17:27:52Z
4630346,Harry Cutts,670691,14,45204356,2017-01-16T01:23:34Z
4630350,PemFR,86806,5,13063757,2012-09-10T23:48:25Z
4630372,beddy,3207726,10,38823795,2016-04-24T00:37:18Z
4630390,beddy,3207726,11,38823795,2016-04-24T00:37:17Z
4644006,DennisL,32952,11,17769118,2013-09-10T15:21:05Z
4644013,stucki1,10786,7,13224113,2012-09-23T18:21:45Z
4644014,DennisL,32952,10,17769118,2013-09-10T15:21:05Z
4644024,StellanL,28775,5,13151913,2012-09-18T06:52:25Z
4644025,StellanL,28775,5,13151913,2012-09-18T06:52:25Z
4744742,ErikPottinger,1168909,3,42927969,2016-10-16T00:41:34Z
4744743,dbaupp,1211556,3,51070093,2017-08-13T00:12:28Z
