id,key,value,type
4304424,bridge,yes,regular
4304424,highway,secondary_link,regular
4304424,lanes,1,regular
4304424,layer,1,regular
4304424,oneway,yes,regular
4304424,sidewalk,no,regular
4321995,access,private,regular
4321995,highway,service,regular
4321995,service,driveway,regular
4334869,highway,unclassified,regular
4334869,name,Zook Road,regular
4336012,aeroway,hangar,regular
4336012,building,yes,regular
4336012,image,http://commons.wikimedia.org/wiki/File:Last_Look_at_Hangar_One.jpg,regular
4336012,name,Hangar One,regular
4336012,start_date,1933,regular
4336012,wikidata,Q5647905,regular
4336012,wikipedia,"en:Hangar One (Mountain View, California)",regular
4338473,aeroway,runway,regular
4338473,length,9197 ft,regular
4338473,ref,14L/32R,regular
4338473,width,61,regular
4338513,aeroway,taxiway,regular
4338513,ref,F,regular
4338515,aeroway,taxiway,regular
4338517,aeroway,taxiway,regular
4338518,aeroway,taxiway,regular
4338518,ref,X,regular
4338519,aeroway,taxiway,regular
4338519,ref,X,regular
4338521,aeroway,taxiway,regular
4338521,created_by,JOSM,regular
4338522,aeroway,taxiway,regular
4338523,aeroway,taxiway,regular
4338528,aeroway,taxiway,regular
4338528,ref,C,regular
4338529,aeroway,taxiway,regular
4338529,ref,,regular
4368969,cycleway,lane,regular
4368969,highway,primary,regular
4368969,lanes,2,regular
4368969,maxspeed,35 mph,regular
4368969,name,North Shoreline Boulevard,regular
4368969,oneway,yes,regular
4368969,surface,asphalt,regular
4368970,cycleway,lane,regular
4368970,highway,primary,regular
4368970,lanes,2,regular
4368970,maxspeed,35 mph,regular
4368970,name,North Shoreline Boulevard,regular
4368970,oneway,yes,regular
4368970,sidewalk,none,regular
4368972,foot,no,regular
4368972,highway,trunk_link,regular
4368972,oneway,yes,regular
4368972,sidewalk,none,regular
4370022,bicycle,no,regular
4370022,destination,San Francisco,regular
4370022,ref,CA 85 North,destination
4370022,highway,motorway_link,regular
4370022,lanes,1,regular
4370022,oneway,yes,regular
4370022,destination,survey,source
4370022,lanes,through,turn
4370043,bicycle,no,regular
4370043,street,San Antonio Road,destination
4370043,highway,motorway_link,regular
4370043,lanes,1,regular
4370043,oneway,yes,regular
4370043,county,"Santa Clara, CA",tiger
4370043,lanes,through,turn
4370045,alt_name,San Antonio Road,regular
4370045,highway,residential,regular
4370045,maxspeed,25 mph,regular
4370045,name,San Antonio Avenue,regular
4370045,oneway,yes,regular
4626017,highway,unclassified,regular
4626017,name,Moffett Boulevard,regular
4626018,highway,unclassified,regular
4626018,name,Rt Jones Road,regular
4626018,name_1,Moffett Boulevard,regular
4626018,name_2,Perimeter Road,regular
4626018,name,OSM US TIGER 2012 ROADS OVERLAY,source
4626020,highway,unclassified,regular
4626020,name,de France Avenue,regular
4626021,highway,unclassified,regular
4626021,name,Mc Cord Avenue,regular
4626484,highway,service,regular
4629955,bicycle,no,regular
4629955,hgv,designated,regular
4629955,national_network,yes,hgv
4629955,highway,motorway,regular
4629955,hov,lane,regular
4629955,lanes,3,regular
4629955,maxspeed,65 mph,regular
4629955,trailer,55 mph,maxspeed
4629955,lanes,left lane is hov,note
4629955,oneway,yes,regular
4629955,ref,CA 85,regular
4629955,hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,source
4629955,maxspeed,sign,source
4630346,bicycle,yes,regular
4630346,foot,yes,regular
4630346,highway,cycleway,regular
4630346,lit,no,regular
4630346,segregated,no,regular
4630346,surface,asphalt,regular
4630350,highway,unclassified,regular
4630372,barrier,fence,regular
4630372,name,Ames Substation,regular
4630372,operator,PG&E,regular
4630372,power,substation,regular
4630372,substation,transition,regular
4630372,voltage,115000,regular
4630390,barrier,fence,regular
4644006,highway,unclassified,regular
4644006,name,King Road,regular
4644013,highway,service,regular
4644013,name,Moffett Boulevard,regular
4644014,bridge,yes,regular
4644014,highway,unclassified,regular
4644014,name,Zook Road,regular
4644024,highway,unclassified,regular
4644025,highway,service,regular
4744742,foot,yes,regular
4744742,highway,footway,regular
4744743,foot,yes,regular
4744743,highway,footway,regular
4744744,foot,yes,regular
4744744,highway,footway,regular
4744806,highway,primary,regular
4744806,lanes,2,regular
4744806,maxspeed,35 mph,regular
4744806,name,San Antonio Road,regular
4744806,name_1,San Antonio Avenue,regular
4744806,oneway,yes,regular
4744806,surface,asphalt,regular
4744806,county,"Santa Clara, CA",tiger
4744806,name_base,San Antonio,tiger
4744806,name_type,Ave:Rd,tiger
4786596,leisure,park,regular
4786596,name,Klein Park,regular
4809368,hgv,designated,regular
4809368,national_network,terminal_access,hgv
4809368,highway,primary,regular
4809368,maxspeed,35 mph,regular
4809368,name,West El Camino Real,regular
4809368,old_ref,US 101,regular
4809368,oneway,yes,regular
4809368,ref,CA 82,regular
4809368,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
4809368,maxspeed,sign,source
4809368,surface,asphalt,regular
4809373,hgv,designated,regular
4809373,national_network,terminal_access,hgv
4809373,highway,primary,regular
4809373,lanes,4,regular
4809373,maxspeed,40 mph,regular
4809373,name,East El Camino Real,regular
4809373,old_ref,US 101,regular
4809373,oneway,yes,regular
4809373,ref,CA 82,regular
4809373,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
4809373,surface,asphalt,regular
4809373,lanes,|||right,turn
4927662,bicycle,no,regular
4927662,hgv,designated,regular
4927662,national_network,terminal_access,hgv
4927662,highway,motorway,regular
4927662,lanes,2,regular
4927662,maxspeed,55 mph,regular
4927662,oneway,yes,regular
4927662,ref,CA 237,regular
4927662,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5001981,highway,trunk_link,regular
5001981,lanes,1,regular
5001981,oneway,yes,regular
5001981,sidewalk,no,regular
5001982,highway,secondary_link,regular
5001982,lanes,1,regular
5001982,oneway,yes,regular
5001982,sidewalk,no,regular
5005672,bicycle,no,regular
5005672,destination,Shoreline Boulevard,regular
5005672,highway,motorway_link,regular
5005672,ref,399A,junction
5005672,lanes,2,regular
5005672,advisory,35 mph,maxspeed
5005672,oneway,yes,regular
5005966,bicycle,no,regular
5005966,destination,San Francisco,regular
5005966,ref,US 101 North,destination
5005966,highway,motorway_link,regular
5005966,lanes,1,regular
5005966,oneway,yes,regular
5005966,lanes,through,turn
5010393,HFCS,Minor Arterial,regular
5010393,cycleway,lane,regular
5010393,highway,secondary,regular
5010393,name,Grant Road,regular
5010393,oneway,yes,regular
5010394,HFCS,Minor Arterial,regular
5010394,cycleway,lane,regular
5010394,highway,secondary,regular
5010394,lanes,3,regular
5010394,maxspeed,35 mph,regular
5010394,name,Grant Road,regular
5010394,oneway,yes,regular
5010394,surface,paved,regular
5010395,hgv,designated,regular
5010395,state_network,yes,hgv
5010395,highway,primary_link,regular
5010395,lanes,3,regular
5010395,maxspeed,45 mph,regular
5010395,oneway,yes,regular
5010395,ref,CA 237,regular
5010395,hgv:state_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5010395,maxspeed,sign,source
5012168,cycleway,lane,regular
5012168,highway,primary,regular
5012168,lanes,2,regular
5012168,maxspeed,35 mph,regular
5012168,name,North Shoreline Boulevard,regular
5012168,oneway,yes,regular
5012169,cycleway,lane,regular
5012169,highway,primary,regular
5012169,lanes,3,regular
5012169,lit,yes,regular
5012169,maxspeed,35 mph,regular
5012169,name,South Shoreline Boulevard,regular
5012169,oneway,yes,regular
5012169,sidewalk,right,regular
5012169,surface,asphalt,regular
5012170,bridge,yes,regular
5012170,cycleway,lane,regular
5012170,highway,primary,regular
5012170,layer,1,regular
5012170,maxspeed,35 mph,regular
5012170,name,North Shoreline Boulevard,regular
5012170,oneway,yes,regular
5012170,sidewalk,none,regular
5012171,bridge,yes,regular
5012171,cycleway,lane,regular
5012171,highway,primary,regular
5012171,layer,1,regular
5012171,maxspeed,35 mph,regular
5012171,name,North Shoreline Boulevard,regular
5012171,oneway,yes,regular
5012171,sidewalk,separate,regular
5012264,access,hov,regular
5012264,bicycle,no,regular
5012264,bridge,yes,regular
5012264,highway,motorway_link,regular
5012264,hov,designated,regular
5012264,conditional,"designated @ (Mo-Fr 05:00-09:00, 15:00-19:00)",hov
5012264,lanes,1,regular
5012264,layer,1,regular
5012264,oneway,yes,regular
5012269,cycleway,lane,regular
5012269,highway,secondary,regular
5012269,maxspeed,35 mph,regular
5012269,name,North Shoreline Boulevard,regular
5012269,oneway,yes,regular
5012269,surface,asphalt,regular
5018649,bicycle,no,regular
5018649,bridge,yes,regular
5018649,hgv,designated,regular
5018649,national_network,terminal_access,hgv
5018649,highway,motorway,regular
5018649,lanes,2,regular
5018649,layer,1,regular
5018649,maxspeed,55 mph,regular
5018649,oneway,yes,regular
5018649,ref,CA 237,regular
5018649,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018655,bicycle,no,regular
5018655,hgv,designated,regular
5018655,national_network,yes,hgv
5018655,highway,motorway,regular
5018655,hov,lane,regular
5018655,lanes,3,regular
5018655,maxspeed,65 mph,regular
5018655,trailer,55 mph,maxspeed
5018655,lanes,left lane is hov,note
5018655,oneway,yes,regular
5018655,ref,CA 85,regular
5018655,hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,source
5018655,maxspeed,sign,source
5018656,bicycle,no,regular
5018656,bridge,yes,regular
5018656,hgv,designated,regular
5018656,national_network,yes,hgv
5018656,highway,motorway,regular
5018656,hov,lane,regular
5018656,lanes,3,regular
5018656,layer,2,regular
5018656,maxspeed,65 mph,regular
5018656,trailer,55 mph,maxspeed
5018656,lanes,left lane is hov,note
5018656,oneway,yes,regular
5018656,ref,CA 85,regular
5018656,hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,source
5018656,maxspeed,sign,source
5018668,hgv,designated,regular
5018668,national_network,terminal_access,hgv
5018668,highway,primary,regular
5018668,lanes,3,regular
5018668,maxspeed,35 mph,regular
5018668,name,West El Camino Real,regular
5018668,old_ref,US 101,regular
5018668,oneway,yes,regular
5018668,ref,CA 82,regular
5018668,sidewalk,right,regular
5018668,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018668,maxspeed,sign,source
5018668,surface,asphalt,regular
5018670,hgv,designated,regular
5018670,national_network,terminal_access,hgv
5018670,highway,primary,regular
5018670,lanes,3,regular
5018670,maxspeed,35 mph,regular
5018670,name,West El Camino Real,regular
5018670,old_ref,US 101,regular
5018670,oneway,yes,regular
5018670,ref,CA 82,regular
5018670,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018670,maxspeed,sign,source
5018671,bridge,yes,regular
5018671,hgv,designated,regular
5018671,national_network,terminal_access,hgv
5018671,highway,primary,regular
5018671,lanes,4,regular
5018671,layer,1,regular
5018671,maxspeed,40 mph,regular
5018671,name,East El Camino Real,regular
5018671,old_ref,US 101,regular
5018671,oneway,yes,regular
5018671,ref,CA 82,regular
